Key,Translation
Achievements.ARCHAEOLOGIST_Description,สังหาร Doctor Bones 
Achievements.ARCHAEOLOGIST_Name,Archaeologist
Achievements.BALEFUL_HARVEST_Description,"ไปถึง wave 15 ของอีเวท pumpkin moon ที่ซึ่งความชั่วร้ายแฝงตัวอยู่ท่ามกลางการเก็บเกี่ยวในฤดูใบไม้ร่วง"
Achievements.BALEFUL_HARVEST_Name,Baleful Harvest
Achievements.BEGONE_EVIL_Description,"ทุบแท่นบูชาปีศาจด้วยค้อนศักดิ์สิทธิ์อันทรงพลัง"
Achievements.BEGONE_EVIL_Name,"Begone, Evil!"
Achievements.BEHIND_THE_MASK_Description,"สังหาร Insane Cultist นักมายาผู้บ้าคลั่งด้วยเวทมนตร์อันทรงพลัง"
Achievements.BEHIND_THE_MASK_Name,Behind The Mask
Achievements.BENCHED_Description,คราฟโต๊ะ work bench เป็นแล้ว...ไงต่อ....?
Achievements.BENCHED_Name,Benched
Achievements.BIG_BOOTY_Description,"ปลดล็อกหนึ่งในหีบลึกลับขนาดใหญ่ของดันเจี้ยนด้วยกุญแจพิเศษ มันเป็นของดีหรือป่าวนะ? ต้องลอง !!"
Achievements.BIG_BOOTY_Name,Big Booty
Achievements.BLOODBATH_Description,"มันเป็นคืนที่แม่น้ำและทุกอย่างกลายเป็นสีแดง ฝูงมอนสเตอร์เกิดบ้าคลั่ง อย่างน้อยก็ต้องรอดให้ได้ในคืนนั้น"
Achievements.BLOODBATH_Name,Bloodbath
Achievements.BONED_Description,"เอาชนะ Skeletron ผู้พิทักษ์ที่ถูกสาปของดันเจี้ยน หัวแทบหมุนตามเลยทีเดียว"
Achievements.BONED_Name,Boned
Achievements.BUCKETS_OF_BOLTS_Description,"เอาชนะเครื่องจักรสังหารในเวลากลางคืนทั้งสาม: Twins, the Destroyer และ Skeletron Prime สุดยอดมาก!! "
Achievements.BUCKETS_OF_BOLTS_Name,Buckets of Bolts
Achievements.BULLDOZER_Description,"ทุบทำลายบล็อกทั้งหมด 10,000 บล็อก ไม่ขุดก็ระเบิดแหลกสินะ"
Achievements.BULLDOZER_Name,Bulldozer
Achievements.ChallengerCategory,Challenger
Achievements.CHAMPION_OF_TERRARIA_Description,เอาชนะ Moon Lord มันจบแล้วยินดีด้วย
Achievements.CHAMPION_OF_TERRARIA_Name,Champion of Terraria
Achievements.CollectorCategory,Collector
Achievements.Completed,Achievement complete! {0}
Achievements.COMPLETELY_AWESOME_Description,ได้ปืน minishark มาใช้แล้ว ว้าว อย่าลืมซื้อกระสุนหล่ะ
